Reaction Abbreviation,Reaction Name,Formula,Gene-Protein-Reaction Association,Gene-Reaction Association,Protein-Reaction Association,Subsystem,EC Number,Reversible,Lower Bound,Upper Bound,Objective (c)
EX_4c2me_e,Sink to allow 4-(Cytidine-5'-diphospho)-2-C-methyl-D-erythritol to leave system,4c2me[e] --> ,,,,Exchange,,0,0,1000,0
EX_bis_e,Sink to allow Bisabolene to leave system,bis[e] --> ,,,,Exchange,,0,0,1000,0
EX_lim_e,Sink to allow Limonene to leave system,lim[e] --> ,,,,Exchange,,0,0,1000,0
COAt,transport of coA to extracellular,coa[e] <==> coa[c],,,,"Transport, Outer Membrane Porin",,1,-1000,1000,0
ACCOAt,transport of accoato extracellular,accoa[e] <==> accoa[c],,,,"Transport, Outer Membrane Porin",,1,-1000,1000,0
AACOAt,transport of aacoa to extracellular,aacoa[e] <==> aacoa[c],,,,"Transport, Outer Membrane Porin",,1,-1000,1000,0
HMGCOAt,transport of hmgcoa to extracellular,hmgcoa[e] <==> hmgcoa[c],,,,"Transport, Outer Membrane Porin",,1,-1000,1000,0
ADPt,transport of adp to extracellular,adp[e] <==> adp[c],,,,"Transport, Outer Membrane Porin",,1,-1000,1000,0
ATPt,transport of atp to extracellular,atp[e] <==> atp[c],,,,"Transport, Outer Membrane Porin",,1,-1000,1000,0
NADt,transport of nad to extracellular,nad[e] <==> nad[c],,,,"Transport, Outer Membrane Porin",,1,-1000,1000,0
NADHt,transport of nadh to extracellular,nadh[e] <==> nadh[c],,,,"Transport, Outer Membrane Porin",,1,-1000,1000,0
NADPt,transport of nadp to extracellular,nadp[e] <==> nadp[c],,,,"Transport, Outer Membrane Porin",,1,-1000,1000,0
NADPHt,transport of nadph to extracellular,nadph[e] <==> nadph[c],,,,"Transport, Outer Membrane Porin",,1,-1000,1000,0
EX_coa_e,Sink to allow coA to leave system,coa[e]  --> ,,,,Exchange,,0,0,1000,0
EX_accoa_e,Sink to allow accoa to leave system,accoa[e]  --> ,,,,Exchange,,0,0,1000,0
EX_aacoa_e,Sink to allow aacoa to leave system,aacoa[e]  --> ,,,,Exchange,,0,0,1000,0
EX_hmgcoa_e,Sink to allow hmgcoa to leave system,hmgcoa[e]  --> ,,,,Exchange,,0,0,1000,0
EX_adp_e,Sink to allow adp to leave system,adp[e]  --> ,,,,Exchange,,0,0,1000,0
EX_atp_e,Sink to allow atp to leave system,atp[e]  --> ,,,,Exchange,,0,0,1000,0
EX_nad_e,Sink to allow nad to leave system,nad[e]  --> ,,,,Exchange,,0,0,1000,0
EX_nadh_e,Sink to allow nadh to leave system,nadh[e]  --> ,,,,Exchange,,0,0,1000,0
EX_nadp_e,Sink to allow nadp to leave system,nadp[e]  --> ,,,,Exchange,,0,0,1000,0
EX_nadph_e,Sink to allow nadph to leave system,nadph[e]  --> ,,,,Exchange,,0,0,1000,0
