,fluxes
ALCD1,0.0
ALCD21_D,0.0
ALCD21_L,0.0
ALCD22_D,0.0
ALCD22_L,0.0
ALDD2x,0.0
ALDD2xm,0.0
ALDD2y,0.0
ALR,0.0
ALR2,2.253829963946246
ALR3,0.0
AM6SAD,0.0
AMANK,0.0
AMCOXO,0.0
AMETr,0.0
AMETt2m,-2.175052499442178e-18
AMPDA,0.0
AMPTASECG,0.00010324671493464
AMPTASECGe,0.0
ANTHte,0.000146905653041589
AOBUTDsm,0.0
APAT2rm,0.0
APOCF,0.0
APOCFm,0.0
APOC_LYS_BTNP,0.0
APOC_LYS_BTNPm,0.0
ARACHDCOAtx,0.0
ARACHDt2,0.0
ARACHt,0.0
ARGLYSex,0.0
ARGSL,0.015246144806648064
ARGSS,0.015246144806648062
ARGt4,0.0
ARGte,0.0
ARGtiDF,0.0
ARSA,0.0
ARTCOAL1,2.0011761774817326e-19
ARTCOAL2,0.0
ARTCOAL3,0.0
ARTFR11,0.0
ARTFR12,0.0
ARTFR13,0.0
ARTFR31,0.0
ARTFR32,0.0
ARTFR33,0.0
ARTFR34,0.0
ARTFR41,0.023602314563198865
ARTFR42,0.0
ARTFR43,0.0
ARTFR44,0.0
ARTFR46,0.0
ARTFR61,0.0
ARTPLM1,0.0
ARTPLM1m,0.0
ARTPLM2,-0.022860233831135772
ARTPLM2m,0.0
ARTPLM3,0.0
ARTPLM3m,0.0
ASAH1,2.0011761774817329e-19
ASCBOX,0.0
ASCBt,0.0
ASCBt4,0.0
ASNALANaEx,0.0
ASNCYSNaEx,0.0
ASNGLNNaEx,0.0
ASNNm,0.0
ASNS1,0.011858112627392928
ASNSERNaEx,0.0
ASNTHRNaEx,0.0
ASN_X_SER_THRtr,-1.74997126225903e-21
ASNt4,0.00197635210456549
ASNtN1,0.0
ASNtm,0.0
ASP1DC,0.0
ASPCTr,0.004880961600451436
ASPGLUm,0.48927215574271343
ASPNATm,0.0
ASPPROASCT1,0.0
ASPTA,0.4288901339281217
ASPTAm,-0.48927215574271343
ASPt6,0.0
ASPte,0.00580962451481498
ATPM,0.0
ATPS4m,0.0
ATPasel,0.0
ATPtm,0.0
ATPtn,0.0
ATPtx,0.01558369537332659
A_MANASEly,-3.499942524517983e-21
B3GNT39g,0.0
BACCL,0.0
BACCLm,0.0
BALAtmr,0.0
BAMPPALDOX,0.0
BDMT_L,1.74997126225903e-21
BDMT_U,0.0
BETALDHxm,2.0478604942811408e-34
BHMT,0.0
BILDGLCURt,0.0
BILDGLCURte,0.0
BILGLCURt,0.0
BILGLCURte,0.0
BIOCYTtn,0.0
BMTer_L,0.011605342728177715
BMTer_U,0.0
BPNT,0.0
BPNT2,0.0
BTND1,0.0
BTND1n,0.0
BTNDm,0.0
BTNPL,0.0
BTNPLm,0.0
BTNt2,-4.537255455843827
BTNt3i,0.0
BTNt4i,4.537255455843827
BTNtn,0.0
B_MANNASEly,-3.499942524517983e-21
C110CPT2m,0.0
C14STRr,0.0008657608540736999
C160CPT1,0.0
C160CPT2,0.0
C160CRNt,0.0
C161CPT1,0.0
C161CPT12,0.0
C161CPT2,0.0
C161CPT22,0.0
C161CRN2t,0.0
C161CRNt,0.0
C180CPT1,0.0
C180CPT2,0.0
C180CRNt,0.0
C181CPT1,0.0
C181CPT2,0.0
C181CRNt,0.0
C20CPT1,-8.304481497317919e-19
C3STDH1Pr,0.0
C3STDH1r,0.0008657608540736997
C3STKR2r,0.0008657608540736998
C4STMO1r,0.0008657608540736999
C4STMO2Pr,0.0008657608540736998
C4STMO2r,0.0
CAATPS,0.0
CATm,0.0
CATp,0.0
CAt7r,0.0
CBPS,0.004880961600451436
CBPSam,0.015246144806648064
CDIPTr,0.012594783704261937
CDPDAGtm,0.0
CDS,0.013707904802356705
CDSm,-7.250174998140595e-19
CEPTC,0.033105095217197664
CEPTE,0.0
CERT1gt,0.0
CERT1rt,0.0
CERT2gt,0.0
CERT2rt,0.0
CGLYt3_2_,0.00010324671493463998
CHAT,0.0
CHATn,0.0
CHLP,0.0
CHLPCTD,0.03310509521719767
CHLtm,-1.592789803186382e-33
CHOLATEt,0.0
CHOLATEt2,0.0
CHOLATEt3,0.0
CHOLD2m,2.0478604942811408e-34
CHOLK,0.03310509521719767
CHOLPtg,0.0
CHOLPtl,0.0
CHOLt4,0.007297127198621144
CHOLtg,0.0
CHOLtn,0.0
CHOLtr,0.0
CHOLtu,0.0
CHSTEROLSULT,0.0
CHSTEROLt2,0.0008657608540736998
CHSTEROLt3,-0.0008657608540736994
CITL,0.0
CITRtm,0.015246144806648064
CITt4_2,-0.00207934147303044
CITt4_4,0.0
CITtam,-0.4881428116829617
CITtbm,0.0
CK,0.0
CKc,0.0
CLHCO3tex2,0.0
CLHCOtex,0.0
CLI2tex,0.0
CLOHtex2,0.0
CLOXAtex2,0.0
CLPNDCOAtx,0.0
CLS_hs,0.0004947204880421152
CMPACNAtg,0.0
CMPACNAtn,0.0
CMPSAS,0.0
CMPSASn,0.0
CO2t,-0.41556404489152793
CO2ter,-0.0017315217081473996
CO2tm,0.031241726644268573
CO2tp,-0.005194565124442197
COAtm,-4.984383635966519e-17
COAtn,0.0
COAtp,-0.005194565124442195
CORE2GTg,0.0
CORE3GTg,6.462888993567319e-19
CORE4GTg,6.462888993567318e-19
CORE5GTg,0.0
CORE6GTg,0.0
CORE7GTg,0.0
CORE8GTg,7.610741881331635e-19
CREATtmdiffir,0.0
CRNCARtp,0.0
CRNt,0.0
CRNtHa,0.0
CRNtim,0.0
CRNtuIR,-8.304481497317919e-19
CRNtuNa,0.0
CRVNCtr,0.0
CSNATm,0.0
CSNATp,0.0
CSNATr,0.0
CSm,0.0
CTPS1,0.0
CTPS2,0.002612844013286285
CTPtn,0.0
CYOOm2,0.06077587380389167
CYOOm3,0.0
CYOR_u10m,0.12155174760778335
CYSALANaEx,0.0
CYSASNNaEx,0.0019763521045654897
CYSGLNNaEx,0.0
CYSGLTH,0.0
CYSGLUexR,0.0
CYSGLYex,0.0
CYSGLYexR,0.0
CYSO,0.0
CYSSERNaEx,0.0
CYSTHRNaEx,0.0
CYSt4,0.0
CYStec,0.0
CYTD,0.0
CYTDK1,1.2690350659098012e-19
CYTDK2m,0.0
CYTDn,0.0
CYTDt,0.0
CYTDt4,0.0
CYTDt5,0.0
CYTDtm,0.0
CYTDtn,0.0
CYTK1,0.09266973337617518
CYTK10,0.0
CYTK10n,0.0
CYTK11,0.000404574357394979
CYTK11n,0.0
CYTK12,-0.00040070283244383154
CYTK12n,0.0
CYTK13,-0.0005594353554409034
CYTK13n,0.0
CYTK14,0.0
CYTK14n,0.0
CYTK1m,0.0
CYTK1n,0.0
CYTK2,0.0
CYTK2n,0.0
CYTK3,0.0
CYTK3n,0.0
CYTK4,0.0
CYTK4n,0.0
CYTK5,0.0
CYTK5n,0.0
CYTK6,-0.04585673335662079
CYTK6n,0.0
CYTK7,0.0
CYTK7n,0.0
CYTK8,0.0
CYTK8n,0.0
CYTK9,0.0
CYTK9n,0.0
DADA,0.0
DADAe,0.0
DADNK,0.0
DADNt4,0.0
DAGK_hs,-0.009152329028779067
DAGKn_hs,0.0
DAG_HSter,0.023210685456355438
DAGt,0.0
DALAOXx,0.0
DALAt2r,0.0
DALAxt,0.0
DASCBR,0.0
DATPtn,0.0005594353554409033
DCK1n,0.0
DCK2n,0.0
DCMPDA,0.000555563830489756
DCT,0.0
DCTPtn,0.0004007028324438316
DCYTD,0.0
DCYTDn,0.0
DESAT16_2,0.02360231456319887
DESAT18_3,0.0
DESAT18_4,0.0
DESAT18_5,0.0
DESAT18_6,0.0
DESAT18_7,0.0
DESAT18_8,0.0
DESAT22_2p,0.0
DGAT,0.0
DGK1,0.0
DGK2m,3.826045683753674e-19
DGNSKm,0.0
DGSNtm,0.0
DGTPtn,0.00042006045719957235
DGULND,0.0
DHCR241r,0.0
DHCR242r,0.0
DHCR243r,0.0008657608540736998
DHCR71r,0.0008657608540736998
DHCR72r,0.0
DHCRD1,0.0
DHCRD2,0.0007420807320631688
DHEASULT,0.0
DHFR,0.0005555638304897561
DHFtl,0.0
DHFtm,0.0
DHORD9,0.004880961600451436
DHORTS,-0.004880961600451436
DHPM1,0.0
DHPR,0.0
DHPR2,0.0
DIDPtn,0.0
DINt,0.0
DITPtn,0.0
DKMPPD,0.0
DMATTx,0.0017315217081473994
DMGDHm,4.022737487275389e-34
DMGtm,0.0
DMNONCRNCPT2,0.0
DM_Lcystin,0.0
DM_Ser_Thr_ly_,0.0
DM_T_antigen(g),0.0
DM_anth,0.00014690565304158906
DM_atp_c_,0.0
DM_core5_g_,0.0
DM_core7_g_,0.0
DM_core8_g_,7.610741881331634e-19
DM_datp(m),0.0
DM_datp(n),0.0
DM_dctp(m),0.0
DM_dctp(n),0.0
DM_dem2emgacpail_prot_hs(r),0.0
DM_dgpi_prot_hs(r),0.0
DM_dgtp(m),0.0
DM_dgtp(n),0.0
DM_dsT_antigen(g),0.0
DM_dttp(m),0.0
DM_dttp(n),0.0
DM_ethamp(r),0.0
DM_gncore2(g),-4.764493448207887e-19
DM_gpi_sig(er),0.011605342728177715
DM_kdn(c),8.961660483937994
DM_m(em)3gacpail_prot_hs(r),0.0
DM_melanin(c),0.0
DM_mem2emgacpail_prot_hs(r),0.011605342728177715
DM_ncam,-2.3422917616240785e-19
DM_pnto_R,4.7863553975270014e-05
DM_sTn_antigen(g),0.0
DM_sprm(c),0.0
DNADDP,0.0
DNADtn,0.0
DNDPt10m,0.0
DNDPt11m,0.0
DNDPt12m,-7.652091367507359e-19
DNDPt13m,0.0
DNDPt14m,0.0
DNDPt15m,0.0
DNDPt16m,0.0
DNDPt17m,0.0
DNDPt18m,0.0
DNDPt19m,0.0
DNDPt1m,0.0
DNDPt20m,0.0
DNDPt21m,0.0
DNDPt22m,-3.826045683753674e-19
DNDPt23m,3.826045683753674e-19
DNDPt24m,0.0
DNDPt25m,0.0
DNDPt26m,0.0
DNDPt27m,0.0
DNDPt28m,0.0
DNDPt29m,0.0
DNDPt2m,0.0
DNDPt30m,0.0
DNDPt31m,0.0
DNDPt32m,0.0
DNDPt33m,0.0
DNDPt34m,0.0
DNDPt35m,0.0
DNDPt36m,0.0
DNDPt37m,0.0
DNDPt38m,0.25378560064868894
DNDPt39m,0.0
DNDPt3m,0.0
DNDPt40m,0.0
DNDPt41m,0.0
DNDPt42m,0.0
DNDPt43m,0.0
DNDPt44m,0.0
DNDPt45m,0.0
DNDPt46m,0.0
DNDPt47m,0.0
DNDPt48m,0.0
DNDPt49m,0.0
DNDPt4m,0.0
DNDPt50m,0.0
DNDPt51m,0.0
DNDPt52m,0.0
DNDPt53m,0.0
DNDPt54m,0.0
DNDPt55m,0.0
DNDPt56m,0.0
DNDPt57m,0.0
DNDPt58m,0.0
DNDPt59m,0.0
DNDPt5m,0.0
DNDPt60m,0.0
DNDPt61m,0.0
DNDPt62m,0.0
DNDPt63m,0.0
DNDPt6m,0.0
DNDPt7m,0.0
DNDPt8m,0.0
DNDPt9m,0.0
DOLASNT_Ler,1.74997126225903e-21
DOLASNT_Uer,0.0
DOLDPP_Ler,1.7499712622590297e-21
DOLDPP_Uer,0.0
DOLGLCP_Lter,5.24991378677709e-21
DOLGLCP_Uter,0.0
DOLGPP_Ler,0.0
DOLGPP_Uer,0.0
DOLICHOL_Lter,1.7499712622590297e-21
DOLICHOL_Uter,0.0
DOLK_L,0.0
DOLK_U,0.0
DOLMANP_Lter,0.03481602818453315
DOLMANP_Uter,0.011605342728177715
DOLPGT1_Ler,1.74997126225903e-21
DOLPGT1_Uer,0.0
DOLPGT2_Ler,1.74997126225903e-21
DOLPGT2_Uer,0.0
DOLPGT3_Ler,1.74997126225903e-21
DOLPGT3_Uer,0.0
DOLPH_Ler,1.7499712622590297e-21
DOLPH_Uer,0.0
DOLPMT1_Ler,1.74997126225903e-21
DOLPMT1_Uer,0.0
DOLPMT2_Ler,1.74997126225903e-21
DOLPMT2_Uer,0.0
DOLPMT3_Ler,1.74997126225903e-21
DOLPMT3_Uer,0.0
DOLPMT4_Ler,1.74997126225903e-21
DOLPMT4_Uer,0.0
DOLPMT_L,0.03481602818453315
DOLPMT_U,0.011605342728177715
DOLP_Lter,0.03481602818453315
DOLP_Uter,0.011605342728177717
DOPACHRMISO,0.0
DOPAQNISO1,0.0
DOPAVESSEC,0.0
DOPAt4_2_r,0.0
DOPAtu,0.0
DPCOAK,0.0
DPCOAPP,0.0
DPGM,0.0
DPGase,0.0
DPMVDx,0.005194565124442196
DRBK,0.0
DRPA,0.0
DSAT,0.0007420807320631684
DTDPtn,0.0
DTMPK,0.0005555638304897561
DTTPtn,0.000555563830489756
DUDPtn,0.0
DUMPtn,0.0
DURAD,0.0
DURIK1,0.0
DURIK1m,0.0
DURIPP,0.0
DURItn,0.0
DUTPDPm,0.0
DUTPDPn,0.0
EBP1r,0.0008657608540736997
EBP2r,0.0
ECOAH12m,0.0
ECOAH1m,0.0
ECOAH9m,0.0
ELAIDCPT1,0.0
ELAIDCPT2,0.0
ELAIDCRNt,0.0
ENGASE3ly,-2.8112490078785715e-19
ENGASEly,2.8287487205011607e-19
ENO,20.392636479548717
ESTRADIOLGLCt,0.0
ESTRADIOLGLCt2,0.0
ESTRADIOLtr,0.0
ESTRONESt,0.0
ESTRONESt2,0.0
ESTRONEtr,0.0
ESTSULT,0.0
ETF,0.11667078600733193
ETFQO,0.11667078600733191
ETHAK,0.0
ETHP,0.0
EX_3mob(e),0.000256432185257893
EX_3mop(e),7.14322010464692e-05
EX_4mop(e),7.08356794308701e-05
EX_5oxpro(e),0.00010324671493464
EX_ala_L(e),0.3279825543155682
EX_anth(e),-0.000146905653041589
EX_asp_L(e),0.00580962451481498
EX_chol(e),-0.007297127198621144
EX_cit(e),0.00207934147303044
EX_co2(e),0.41556404489152793
EX_cys_L(e),-0.0019763521045654897
EX_glc(e),-19.3
EX_gln_L(e),-0.7428290614049103
EX_glu_L(e),0.00107973837326339
EX_gly(e),0.00898357618573995
EX_h(e),19.34812405570782
EX_h2o(e),5.892064850076879
EX_hco3(e),-0.4165507645824806
EX_his_L(e),-0.0053643842838206335
EX_ile_L(e),-0.012211880843377345
EX_lac_L(e),14.162035952657028
EX_leu_L(e),-0.023222388904340908
EX_lys_L(e),-0.025127905329475533
EX_mal_L(e),0.00196434060477602
EX_met_L(e),-0.006493728343572331
EX_nh4(e),0.4648999999708011
EX_o2(e),-2.346
EX_orn(e),0.19054233330259324
EX_phe_L(e),-0.01101110458257917
EX_pi(e),-0.08749867088745023
EX_pnto_R(e),-4.786355397527e-05
EX_pyr(e),-2.63391342642637
EX_so4(e),-3.5838268449668254e-19
EX_thr_L(e),-0.013269792702082525
EX_trp_L(e),-0.0005646720298758537
EX_tyr_L(e),-0.006776064358510239
EX_val_L(e),-0.015220240976968055
F1Atg,0.0
F1PGT,1.7499712622589643e-21
F6Tg,1.7499712622589835e-21
FACOAL160i,0.0
FACOAL191,0.0
FACOAL204,0.0
FACOAL204i,0.0
FACOAL226,0.0
FACOAL226i,0.0
FADDP,0.0
FADH2tru,0.0008657608540736998
FADtru,0.0008657608540736998
FAEL204,0.0
FAEL205,0.0
FALDH,4.0227374872753885e-34
FALDtly,0.0
FALDtm,4.022737487275389e-34
FAOXC140,0.0
FAOXC160,0.0
FAOXC16080m,0.0
FAOXC16080x,0.0
FAOXC161802m,0.0
FAOXC16180m,0.0
FAOXC180,0.0
FAOXC180x,0.0
FAOXC1811601m,0.0
FAOXC1811602m,0.0
FAOXC1811603m,0.0
FAOXC18280m,0.0
FAOXC2242046x,0.0
FAOXC226205x,0.0
FAOXC80,-1.6311797469244954e-17
FAS100COA,0.058809971854575586
FAS120COA,0.058809971854575586
FAS140COA,0.0588099718545756
FAS160COA,0.0588099718545756
FAS180COA,0.0
FAS80COA_L,0.05880997185457558
FATP1t,0.0
FATP2t,0.0
FATP3t,0.0
FATP4t,0.0
FATP5t,0.0
FATP6t,0.0
FATP7t,0.0
FATP8t,0.0
FATP9t,0.0
FBA,10.249593434452418
FBA2,0.0
FBA4,0.0
FBP,0.0
FBP26,0.0
FDH,0.0008657608540737
FK,1.7499712622589643e-21
FKYNH,0.0
FMNAT,0.0
FORt2m,0.0
FORtr,-0.0008657608540736999
FPGS,0.0
FPGS2,0.0
FPGS2m,0.0
FPGS3,0.0
FPGS3m,0.0
FPGS4,0.0
FPGS4m,0.0
FPGS5,0.0
FPGS5m,0.0
FPGS6,0.0
FPGS6m,0.0
FPGS7,0.0
FPGS7m,0.0
FPGS8,0.0
FPGS8m,0.0
FPGS9,0.0
FPGS9m,0.0
FPGSm,0.0
FRDPtr,0.0017315217081473994
FRUt1r,0.0
FRUt4,0.0
FTCD,5.125603619235757e-18
FTHFDH,0.026509154049905937
FTHFL,0.0
FTHFLm,0.0
FUCASE2ly,-2.811249007878571e-19
FUCASEly,2.8287487205011607e-19
FUCtly,1.7499712622589643e-21
FUM,0.022869514280222228
FUMAC,0.0
FUMSO3tm,0.0
FUMSO4tm,0.0
FUMTSULtm,0.0
FUMm,2.013026649277994e-18
FUMtm,0.0
G12MT1_L,1.74997126225903e-21
G12MT1_U,0.0
G12MT2_L,1.74997126225903e-21
G12MT2_U,0.0
G13MT_L,1.74997126225903e-21
G13MT_U,0.0
G14T10g,-2.811249007878571e-19
G14T11g,-2.811249007878571e-19
G14T12g,-2.811249007878571e-19
G14T13g,-2.811249007878571e-19
G14T14g,-2.811249007878571e-19
G14T15g,-2.811249007878571e-19
G14T16g,-2.811249007878571e-19
G14T17g,-2.811249007878571e-19
G14T18g,0.0
G14T19g,6.462888993567318e-19
G14T20g,6.462888993567318e-19
G14T21g,6.462888993567318e-19
G14T2g,4.764493448207887e-19
G14T3g,4.764493448207887e-19
G14T4g,4.764493448207887e-19
G14T5g,4.764493448207887e-19
G14T6g,-2.811249007878571e-19
G14T7g,-2.811249007878571e-19
G14T8g,-2.811249007878571e-19
G14T9g,-2.811249007878571e-19
G14Tg,1.7499712622589835e-21
G16MT_L,1.74997126225903e-21
G16MT_U,0.0
G3PD1,-0.16375173501171925
G3PD2m,0.14027310057053083
G5SADrm,0.01750483292615151
G5SDym,0.2232933110353928
G6PDA,0.46434443614031135
G6PDH1er,0.0
G6PDH1rer,0.0
G6PDH2r,0.0
G6PDH2rer,0.0
G6PPer,0.0
G6Pter,0.0
GABAVESSEC,0.0
GACPAILter,0.011605342728177719
GAL3ST11,0.0
GALASE10ly,-2.8112490078785715e-19
GALASE11ly,-2.811249007878572e-19
GALASE12ly,-2.811249007878573e-19
GALASE13ly,-2.8112490078785734e-19
GALASE14ly,-2.8112490078785744e-19
GALASE15ly,-2.811249007878574e-19
GALASE16ly,4.764493448207886e-19
GALASE17ly,7.6963963660256325e-19
GALASE18ly,7.696396366025633e-19
GALASE19ly,7.6963963660256325e-19
GALASE1ly,2.8287487205011607e-19
GALASE20ly,6.462888993567316e-19
GALASE3ly,-2.8112490078785715e-19
GALASE4ly,-2.811249007878571e-19
GALASE5ly,-2.8112490078785715e-19
GALASE6ly,-2.8112490078785715e-19
GALASE7ly,-2.8112490078785715e-19
GALASE8ly,-2.8112490078785715e-19
GALASE9ly,-2.8112490078785715e-19
GALGLUSIDEtg,0.0
GALGLUSIDEtl,0.0
GALK,0.0
GALNTg,0.0
GALSIDEtg,0.0
GALSIDEtl,0.0
GALT,-4.736630891043387e-20
GALU,0.0
GALt1r,0.0
GALt2_2,0.0
GALt4,0.0
GALt4_2,0.0
GALtly,0.0
GAPD,20.472485222091727
GARFT,0.004788075515316392
GASNASE3ly,-2.811249007878571e-19
GASNASEly,2.8287487205011607e-19
GBA,0.0
GBAl,2.0011761774817329e-19
GCALDD,0.0
GCC2am,0.0
GCC2bim,0.0
GCC2cm,0.0
GCCam,0.0
GCCbim,0.0
GCCcm,0.0
GCHOLAt,0.0
GCHOLAt2,0.0
GCHOLAt3,0.0
GCHOLAte,0.0
GDPFUCtg,1.7499712622589835e-21
GDPtg,-1.749971262258983e-21
GF6PTA,0.4759497788684891
GGH_10FTHF5GLUl,0.0
GGH_10FTHF6GLUl,0.0
GGH_10FTHF7GLUl,0.0
GGH_5DHFl,0.0
GGH_5THFl,0.0
GGH_6DHFl,0.0
GGH_6THFl,0.0
GGH_7DHFl,0.0
GGH_7THFl,0.0
GGLUCT,0.00010324671493463999
GGNG,0.0
GHMT2r,0.036640868911028475
GK1,0.0019527815570586106
GLACter,0.0
GLB1,0.0
GLBRAN,0.0
GLCAASE8ly,0.0
GLCAASE9ly,0.0
GLCMter,0.0
GLCNACPT_L,1.7499712622590305e-21
GLCNACPT_U,0.0
GLCNACT_L,1.74997126225903e-21
GLCNACT_U,0.0
GLCURter,0.0
GLCURtly,0.0
GLCt1r,19.3
GLCt2_2,0.0
GLCt2r,0.0
GLCt4,0.0
GLCt4_2,0.0
GLCter,-5.24991378677709e-21
GLCtg,-1.2883556212539574e-18
GLCtly,2.0011761774817329e-19
GLDBRAN,0.0
GLGNS1,0.0
GLNALANaEx,0.0
GLNASNNaEx,0.0
GLNCYSNaEx,0.0
GLNLASEer,0.0
GLNS,0.0
GLNSERNaEx,0.0
GLNTHRNaEx,0.0
GLNt4,0.0
GLNtN1,0.0
GLNtm,0.22216396697564098
GLPASE1,0.0
GLPASE2,0.0
GLRASE,0.0
GLU5Km,0.2232933110353928
GLUCYS,0.00010324671493463999
GLUDC,0.0
GLUDxm,-0.20691782216899293
GLUDym,0.0
GLUNm,0.22216396697564098
GLUPRT,0.004788075515316391
GLUTCOADHm,0.0
GLUVESSEC,0.0010797383732633903
GLUt2m,0.0
GLUt6,0.0
GLUt7l,0.0
GLXtp,0.0
GLYATm,0.0
GLYBtm,0.0
GLYCK2,0.0
GLYCLTDy,0.0
GLYCLTtp,0.0
GLYCTO1p,0.0
GLYCt,0.0
GLYK,0.0
GLYOX,0.0
GLYOp,0.0
GLYVESSEC,0.0
GLYt2r,-0.008983576185739984
GLYt4,0.0
GLYt7_211_r,0.0
GLYt7_311_r,0.0
GLYtm,0.0
GLYtp,0.0
GMPR,0.0
GMPS2,0.0019527815570586108
GMPtg,1.7499712622589835e-21
GMPtn,0.0
GND,0.0
GNMT,-4.022737487275389e-34
GPAM_hs,0.022860233831135772
GPDDA1,0.0
GPIAT,0.011605342728177719
GPIDA2er,0.0
GPIDAer,0.0
GPIMTer_L,0.011605342728177719
GPIMTer_U,0.0
GRTTx,0.0017315217081473994
GSNt,0.0
GSNt4,0.0
GSNt5,0.0
GTHDH,0.0
GTHO,0.0
GTHOm,0.0
GTHP,0.0
GTHPm,0.0
GTHS,0.00010324671493463999
GTMLTe,0.00010324671493463999
GUACYC,0.0
GUAPRT,0.0
GULLACter,0.0
GULN3D,0.0
GULNDer,0.0
