Reactions,Flux
AMPTASECG,0
AMPTASEPG,0
AMPtex,0
ANHGMtex,0
ANHMK,0
ANPRT,0.014
ANS,0.014
AOBUTDs,0
AOXSr2,0
AP4AH,0
AP4AS,0
AP5AH,-0
APCS,0
APG3PAT120,0
APG3PAT140,0
APG3PAT141,0
APG3PAT160,0
APG3PAT161,0
APG3PAT180,0
APG3PAT181,0
APH120,0
APH140,0
APH141,0
APH160,0
APH161,0
APH180,0
APH181,0
APPLDHr,0
APRAUR,0
ARAI,0
ARBTNR1,0
ARBTNR2,0
ARBTNR3,0
ARBTNabcpp,0
ARBTNexs,0
ARBTNtex,0
ARBTNtonex,0
ARBTNtpp,0
ARBTptspp,0
ARBTtex,0
ARBabcpp,0
ARBt2rpp,0
ARBt3ipp,0
ARBtex,-0
ARGAGMt7pp,0
ARGDC,0
ARGDCpp,0
ARGORNt7pp,0
ARGSL,0.071
ARGSS,0.071
ARGTRS,0
ARGabcpp,0
ARGt3pp,0
ARGtex,0
ASAD,-0.258
ASCBPL,0
ASCBptspp,0
ASCBtex,0
ASNN,0
ASNNpp,0
ASNS1,0
ASNS2,0.058
ASNTRS,0
ASNabcpp,0
ASNt2rpp,0
ASNtex,0
ASO3t8pp,-0
ASO3tex,0
ASP1DC,0
ASPCT,0.08
ASPK,0.258
ASPO3,0
ASPO4,0
ASPO5,0
ASPO6,0.001
ASPT,0
ASPTA,-0.707
ASPTRS,0
ASPabcpp,0
ASPt2_2pp,0
ASPt2_3pp,0
ASPt2pp_copy1,0
ASPt2pp_copy2,0
ASPtex,0
ASR,-0
AST,0
ATHRDHr,0
ATPHs,0
ATPM,3.15
ATPPRT,0.023
ATPS4rpp,-6.498
BALAt2pp,0
BALAtex,0
BETALDHx,0
BETALDHy,0
BMOCOS,0
BMOGDS1,0
BMOGDS2,0
BPNT,0.06
BSORx,0
BSORy,0
BTNt2ipp,0
BTNtex,0
BTS5,0
BUTCT,0
BUTSO3abcpp,0
BUTSO3tex,0
BUTt2rpp,0
BUTtex,0
BWCOGDS1,0
BWCOGDS2,0
BWCOS,0
CA2t3pp,0
CA2tex,0.001
CADVtpp,0
CAT,0
CAt6pp,-0.001
CBIAT,0
CBItonex,0
CBIuabcpp,0
CBL1abcpp,0
CBL1tonex,0
CBLAT,0
CBMD,0
CBMKr,0.151
CBPS,0
CCGS,0
CD2abcpp,0
CD2t3pp,0
CD2tex,0
CD2tpp,0
CDAPPA120,0
CDAPPA140,0
CDAPPA141,0
CDAPPA160,0
CDAPPA161,0
CDAPPA180,0
CDAPPA181,0
CDGR,0
CDGS,0
CDPMEK,0.001
CFAS160E,0
CFAS160G,0
CFAS180E,0
CFAS180G,0
CGLYabcpp,0
CGLYtex,0
CHLabcpp,0
CHLt2pp,0
CHLtex,-0
CHOLD,0
CHORM,0.078
CHORS,0.092
CHRPL,0
CHTBSptspp,0
CHTBStex,0
CINNDO,-0
CITL,0
CITt3pp,0
CITt7pp,0
CITtex,0
CLIPAabctex,0
CLPNH120pp,0
CLPNH140pp,0
CLPNH141pp,0
CLPNH160pp,0
CLPNH161pp,0
CLPNH180pp,0
CLPNH181pp,0
CLPNS120pp,0
CLPNS140pp,0
CLPNS141pp,0
CLPNS160pp,0
CLPNS161pp,0
CLPNS180pp,0
CLPNS181pp,0
CLt3_2pp,0.001
CLtex,0.001
CMPN,0
CMPtex,0
CMtex,0
CMtpp,0
CO2tex,0.088
CO2tpp,0.088
COBALT2abcpp,0
COBALT2t3pp,0
COBALT2tex,0
COBALT2tpp,0
COLIPAKpp,0
COLIPAPabctex,0
COLIPAabcpp,0
COLIPAabctex,0
CPGNR1,0
CPGNR2,0
CPGNR3,0
CPGNUtex,0
CPGNUtpp,0
CPGNabcpp,0
CPGNexs,0
CPGNtonex,0
CPH4S,0
CPMPS,0
CPPPGO,-0
CPPPGO2,0
CRNBTCT,-0
CRNCAL2,0
CRNCAR,-0
CRNCBCT,0
CRNCDH,0
CRNDCAL2,0
CRNDabcpp,0
CRNDt2rpp,0
CRNDtex,-0
CRNabcpp,0
CRNt2rpp,0
CRNt7pp,-0
CRNt8pp,0
CRNtex,-0
CS,0.26
CSND,0
CSNt2pp,0
CSNtex,0
CTBTCAL2,0
CTBTabcpp,0
CTBTt2rpp,-0
CTECOAI6,0
CTECOAI7,-0.036
CTECOAI8,0
CTPS2,0.039
CU1Opp,0
CU1abcpp,0
CU2abcpp,0
CU2tex,0
CU2tpp,0
CUt3,0
CUtex,0
CYANST,0
CYANSTpp,0
CYANtex,0
CYNTAH,0
CYNTt2pp,0
CYNTtex,0
CYSDDS,0
CYSDS,0
CYSDabcpp,0
CYSDtex,0
CYSS,0.06
CYSSADS,-0
CYSTL,0.037
CYSTRS,0
CYSabc2pp,0
CYSabcpp,0
CYStex,0
CYStpp,0
CYTBD2pp,0
CYTBDpp,0
CYTBO3_4pp,0
CYTD,0
CYTDH,0
CYTDK2,0
CYTDt2pp_copy1,-0
CYTDt2pp_copy2,0
CYTDtex,0
CYTK1,0.044
CYTK2,0
D_LACt2pp,0
D_LACtex,0
DAAD,0
DADA,0
DADK,0
DADNt2pp,0
DADNtex,0
DAGK120,0
DAGK140,0
DAGK141,0
DAGK160,0
DAGK161,0
DAGK180,0
DAGK181,0
DALAt2pp,0.003
DALAtex,0
DAMPtex,-0
DAPAL,0
DAPDC,0.083
DAPE,0.09
DAPabcpp,0
DAPtex,0
DASYN120,0
DASYN140,0
DASYN141,0
DASYN160,0.015
DASYN161,0.018
DASYN180,0
DASYN181,0
DATPHs,0
DB4PS,0
DBTS,0
DC6PH,0
DCAtex,0
DCMPtex,-0
DCTPD,0
DCYTD,0
DCYTt2pp,0
DCYTtex,0
DDCAtexi,0
DDGALK,0
DDGLCNt2rpp,-0
DDGLCNtex,-0
DDGLK,0
DDPA,0.092
DDPGALA,0
DGK1,0
DGMPtex,-0
DGSNt2pp,0
DGSNtex,0
DHACOAH,0
DHAD1,0.211
DHAD2,0.07
DHAPT,0
DHAtex,0
DHAtpp,0
DHBD,-0
DHBS,-0
DHBSH,0
DHCIND,-0
DHCINDO,0
DHDPRy,0.09
DHDPS,0.09
DHFR,0.006
DHFS,0
DHMPTR,0
DHNAOT4,0
DHNCOAS,0
DHNCOAT,0
DHNPA2r,0
DHNPTE,0
DHORD2,0
DHORD5,0.08
DHORDfum,0
DHORTS,-0.08
DHPPD,0
DHPPDA2,0
DHPS2,0
DHPTDCs2,0
DHPTDNR,0
DHPTDNRN,0
DHPTPE,0
DHQS,0.092
DHQTi,0.092
DIMPtex,-0
DINSt2pp,0
DINStex,0
DKGLCNR1,0
DKGLCNR2x,0
DKGLCNR2y,0
DMATT,0
DMPPS,0
DMQMT,0
DMSOR1,0
DMSOR1pp,0
DMSOR2,0
DMSOR2pp,0
DMSOtex,0
DMSOtpp,0
DMStex,-0
DNMPPA,0
DNTPPA,0
DOGULNR,-0
DOPAtex,0
DOXRBCNtex,0
DOXRBCNtpp,0
DPCOAK,0
DPR,0
DRPA,0
DSBAO1,0
DSBAO2,0
DSBCGT,0
DSBDR,-0
DSBGGT,0
DSERDHr,0
DSERt2pp,0
DSERtex,0
DTARTD,0
DTMPK,0.006
DTMPtex,0
DUMPtex,-0
DURADx,-0
DURIK1,-0
DURIPP,0
DURIt2pp,0
DURItex,0
DUTPDP,0.006
DXPRIi,0.001
DXPS,0.001
DXYLK,-0
E4PD,0
EAR100x,0
EAR100y,0
EAR120x,0
EAR120y,0
EAR121x,0
EAR121y,0
EAR140x,0
EAR140y,0
EAR141x,0
EAR141y,0
EAR160x,0
EAR160y,0
EAR161x,0
EAR161y,0
EAR180x,0
EAR180y,0
EAR181x,0
EAR181y,0
EAR40x,0
EAR40y,0
EAR60x,0
EAR60y,0
EAR80x,0
EAR80y,0
ECA4COLIPAabctex,0
ECA4OALpp,0
ECAP1pp,0
ECAP2pp,0
ECAP3pp,0
ECAtpp,0
ECOAH1,0.086
ECOAH2,0.086
ECOAH3,0.086
ECOAH4,0.086
ECOAH5,0.086
ECOAH6,0.067
ECOAH7,0.067
ECOAH8,-0
EDA,0
EDD,0
EDTXS1,0
EDTXS2,0
EDTXS3,0
EDTXS4,0
EGMEACPR,0
ENLIPAabctex,0
ENO,19.017
ENTCS,-0
ENTERES,0
ENTERES2,0
EPMEACPR,0
ETHAAL,0
ETHAt2pp,0
ETHAtex,0
ETHSO3abcpp,0
ETHSO3tex,0
ETOHtex,-8.078
ETOHtrpp,-8.078
F6PA,-0
F6PP,0
F6Pt6_2pp,0
F6Ptex,0
FA100ACPHi,0
FA120ACPHi,0
FA140ACPHi,0
FA141ACPHi,0
FA160ACPHi,0
FA161ACPHi,0
FA80ACPHi,0
FACOAE100,0
FACOAE120,0.019
FACOAE140,0
FACOAE141,0
FACOAE160,0.031
FACOAE161,0.036
FACOAE180,0
FACOAE181,0
FACOAE60,0
FACOAE80,0
FACOAL100t2pp,0
FACOAL120t2pp,0
FACOAL140t2pp,0
FACOAL141t2pp,0
FACOAL160t2pp,0
FACOAL161t2pp,0
FACOAL180t2pp,0
FACOAL181t2pp,0
FACOAL60t2pp,0
FACOAL80t2pp,0
FADRx,0.528
FADRx2,0
FALDH2,0
FALDtex,0
FALDtpp,0
FALGTHLs,0
FBA,9.79
FBA3,0
FBP,0
FCI,0
FCLK,0
FCLPA,0
FCLT,0
FDH4pp,0
FDH5pp,0
FDMO,0
FDMO2,0
FDMO3,0
FDMO4,0
FDMO6,0
FE2abcpp,0
FE2t2pp,0
FE2t3pp,0
FE2tex,0.002
FE2tpp,0.002
FE3DCITabcpp,-0
FE3DCITtonex,0
FE3DHBZR,-0
FE3DHBZSabcpp,-0
FE3DHBZStonex,0
FE3HOXR1,0
FE3HOXR2,0
FE3HOXR3,0
FE3HOXUtex,0
FE3HOXUtpp,0
FE3HOXabcpp,0
FE3HOXexs,0
FE3HOXtonex,0
FE3Ri,0
FE3abcpp,0.002
FE3tex,0.002
FECRMR1,0
FECRMR2,0
FECRMR3,0
FECRMUtex,0
FECRMUtpp,0
FECRMabcpp,0
FECRMexs,0
FECRMtonex,0
FEENTERR1,0
FEENTERR2,0
FEENTERR3,0
FEENTERabcpp,0
FEENTERexs,0
FEENTERtex,0
FEENTERtonex,0
FEENTERtpp,0
FEOXAMR1,0
FEOXAMR2,-0
FEOXAMR3,0
FEOXAMUtex,0
FEOXAMUtpp,0
FEOXAMabcpp,0
FEOXAMexs,0
FEOXAMtonex,0
FEROpp,0
FESD1s,0
FESD2s,0
FESR,0
FFSD,0
FHL,0
FLDR2,0
FLVR,0
FLVRx,0
FMETTRS,0
FMNAT,0
FMNRx,0
FMNRx2,0
FOMETRi,0
FORCT,-0
FORt2pp,0
FORtex,-17.283
FORtppi,17.283
FRD2,0.08
FRD3,0
FRUK,0
FRULYSDG,0
FRULYSE,0
FRULYSK,0
FRULYSt2pp,0
FRULYStex,0
FRUURt2rpp,0
FRUURtex,0
FRUpts2pp,0
FRUptspp,0
FRUtex,0
FTHFD,0
FTHFLi,0
FUCtex,0
FUCtpp,0
FUM,0.172
FUMt2_2pp,0
FUMt2_3pp,0
FUMtex,0
FUSAtex,0
FUSAtpp,0
G1PACT,0.023
G1PPpp,0
G1PTT,0
G1Ptex,0
G1SAT,0.001
G2PP,0
G2PPpp,0
G3PAT120,0
G3PAT140,0
G3PAT141,0
G3PAT160,0.015
G3PAT161,0.018
G3PAT180,0
G3PAT181,0
G3PCabcpp,0
G3PCtex,0
G3PD2,-0.034
G3PD5,0
G3PD6,0
G3PD7,0
G3PEabcpp,0
G3PEtex,0
G3PGabcpp,0
G3PGtex,0
G3PIabcpp,0
G3PItex,0
G3PSabcpp,0
G3PStex,0
G3PT,0
G5SADs,0.053
G5SD,0.053
G6PDA,0
G6PDH2r,-0
G6PP,0
G6Pt6_2pp,0
G6Ptex,0
GAL1PPpp,0
GAL1Ptex,0
GALBDtex,0
GALCTD,0
GALCTLO,0
GALCTND,0
GALCTNLt2pp,0
GALCTNLtex,0
GALCTNt2pp,0
GALCTNtex,0
GALCTt2rpp,0
GALCTtex,0
GALKr,0
GALM2pp,0
GALS3,0
GALT1,0
GALTptspp,0
GALTtex,0
GALURt2rpp,-0
GALURtex,-0
GALUi,0
GALabcpp,0
GALt2pp,0
GALtex,0
GAM6Pt6_2pp,0
GAMAN6Ptex,0
GAMptspp,0
GAMtex,0
GAPD,19.419
GARFT,0.081
GART,0.027
GBBTNtex,0
GCALDD,0
GDMANE,0
GDPDPK,0
GDPMNH,0
GDPMNP,0
GDPTPDP,0
GDPtex,-0
GF6PTA,0.023
GGGABADr,0
GGGABAH,0
GGPTRCO,0
GGPTRCS,0
GHBDHx,0
GHMT2r,0.256
GK1,0.059
GLBRAN2,0
GLCATr,0
GLCDpp,0
GLCNt2rpp,0
GLCNtex,0
GLCP,0
GLCP2,0
GLCRAL,0
GLCRD,0
GLCRt2rpp,0
GLCRtex,0
GLCS1,0
GLCTR1,0
GLCTR2,0
GLCTR3,0
GLCUR1Ptex,0
GLCURt2rpp,-0
GLCURtex,-0
GLCabcpp,0
GLCptspp,10
GLCt2pp,0
GLCtex_copy1,0
GLCtex_copy2,10
GLDBRAN2,0
GLGC,0
GLNS,0.437
GLNTRS,0
GLNabcpp,0
GLNtex,0
GLTPD,0
GLU5K,0.053
GLUABUTt7pp,-0
GLUCYS,0
GLUDC,0
GLUDy,-2.052
GLUN,0
GLUNpp,0
GLUPRT,0.108
GLUR,-0.007
GLUSy,0
GLUTRR,0.001
GLUTRS,0.001
GLUabcpp,0
